"","geoid","name","puma","at_risk","food_insec","food_sec","tot_hh","at_risk_pc","insecure_pc","secure_pc","median_income","moe_median_income"
"132","51059452802","Census Tract 4528.02, Fairfax County, Virginia","59301",82,489,1090,1661,0.049367850692354,0.294400963275135,0.656231186032511,71608,4892
"133","51059460100","Census Tract 4601, Fairfax County, Virginia","59305",30,307,1114,1451,0.0206753962784287,0.21157822191592,0.767746381805651,206528,58498
"134","51059460200","Census Tract 4602, Fairfax County, Virginia","59305",35,85,1163,1283,0.0272798129384256,0.0662509742790335,0.906469212782541,235433,31954
"135","51059460300","Census Tract 4603, Fairfax County, Virginia","59305",21,77,797,895,0.023463687150838,0.0860335195530726,0.890502793296089,210152,12988
"136","51059460400","Census Tract 4604, Fairfax County, Virginia","59305",67,218,1483,1768,0.03789592760181,0.123303167420814,0.838800904977376,155357,19705
"137","51059460501","Census Tract 4605.01, Fairfax County, Virginia","59305",30,66,776,872,0.0344036697247706,0.0756880733944954,0.889908256880734,186958,34030
"138","51059460503","Census Tract 4605.03, Fairfax County, Virginia","59305",34,207,979,1220,0.0278688524590164,0.169672131147541,0.802459016393443,146741,47600
"139","51059460504","Census Tract 4605.04, Fairfax County, Virginia","59305",50,211,964,1225,0.0408163265306122,0.172244897959184,0.786938775510204,186943,34947
"140","51059460600","Census Tract 4606, Fairfax County, Virginia","59305",50,53,1111,1214,0.0411861614497529,0.0436573311367381,0.915156507413509,217321,24532
"141","51059460701","Census Tract 4607.01, Fairfax County, Virginia","59305",82,172,753,1007,0.0814299900695134,0.170804369414101,0.747765640516385,130978,21384
"142","51059460702","Census Tract 4607.02, Fairfax County, Virginia","59305",59,140,1236,1435,0.0411149825783972,0.0975609756097561,0.861324041811847,202083,43598
"143","51059460800","Census Tract 4608, Fairfax County, Virginia","59305",38,295,907,1240,0.0306451612903226,0.237903225806452,0.731451612903226,144917,61133
"144","51059460900","Census Tract 4609, Fairfax County, Virginia","59305",28,131,665,824,0.0339805825242718,0.158980582524272,0.807038834951456,185536,42556
"145","51059461000","Census Tract 4610, Fairfax County, Virginia","59305",21,92,638,751,0.0279627163781625,0.122503328894807,0.849533954727031,173750,26781
"146","51059461100","Census Tract 4611, Fairfax County, Virginia","59305",60,438,1978,2476,0.024232633279483,0.176898222940226,0.798869143780291,172925,12443
